page_name,day,amount_spent ,reporting _starts,reporting_ends
censored,10-06-2025,479.85,10-06-2025,10-06-2025
censored,09-06-2025,2807.17,09-06-2025,09-06-2025
censored,08-06-2025,2051.74,08-06-2025,08-06-2025
censored,07-06-2025,2392.81,07-06-2025,07-06-2025
censored,06-06-2025,1279.79,06-06-2025,06-06-2025
censored,30-05-2025,2025.59,30-05-2025,30-05-2025
censored,29-05-2025,2329.9,29-05-2025,29-05-2025
censored,28-05-2025,1653.92,28-05-2025,28-05-2025
censored,26-05-2025,243.41,26-05-2025,26-05-2025
censored,25-05-2025,742.82,25-05-2025,25-05-2025
censored,24-05-2025,1592.73,24-05-2025,24-05-2025
censored,23-05-2025,1634.34,23-05-2025,23-05-2025
censored,20-05-2025,78.4,20-05-2025,20-05-2025
censored,19-05-2025,1692.5,19-05-2025,19-05-2025
censored,18-05-2025,436.51,18-05-2025,18-05-2025
censored,17-05-2025,637.97,17-05-2025,17-05-2025
censored,16-05-2025,991.32,16-05-2025,16-05-2025
censored,15-05-2025,1468.07,15-05-2025,15-05-2025
censored,14-05-2025,805.09,14-05-2025,14-05-2025
censored,13-05-2025,780.09,13-05-2025,13-05-2025
censored,12-05-2025,922.32,12-05-2025,12-05-2025
censored,11-05-2025,720.95,11-05-2025,11-05-2025
censored,10-05-2025,1548.65,10-05-2025,10-05-2025
censored,09-05-2025,1500.65,09-05-2025,09-05-2025
censored,08-05-2025,1679.38,08-05-2025,08-05-2025
censored,07-05-2025,1220.97,07-05-2025,07-05-2025
censored,06-05-2025,630.3,06-05-2025,06-05-2025
censored,05-05-2025,936.32,05-05-2025,05-05-2025
censored,04-05-2025,888.64,04-05-2025,04-05-2025
censored,03-05-2025,1448.94,03-05-2025,03-05-2025
censored,02-05-2025,941.53,02-05-2025,02-05-2025
censored,01-05-2025,1311.02,01-05-2025,01-05-2025
censored,30-04-2025,1110.42,30-04-2025,30-04-2025
censored,29-04-2025,1290.21,29-04-2025,29-04-2025
censored,28-04-2025,1318.49,28-04-2025,28-04-2025
censored,27-04-2025,714.47,27-04-2025,27-04-2025
censored,26-04-2025,1175.27,26-04-2025,26-04-2025
censored,25-04-2025,1018.41,25-04-2025,25-04-2025
censored,24-04-2025,881.23,24-04-2025,24-04-2025
censored,23-04-2025,595.45,23-04-2025,23-04-2025
censored,22-04-2025,299.69,22-04-2025,22-04-2025
censored,21-04-2025,326.77,21-04-2025,21-04-2025
censored,20-04-2025,453.62,20-04-2025,20-04-2025
censored,19-04-2025,794.25,19-04-2025,19-04-2025
censored,18-04-2025,2148.22,18-04-2025,18-04-2025
